PLAYER,MIN,REB%,TS%,AST%,USG%
Caleb Martin,29.1,7.9,50.1,12.3,15.6
Carlton Carrington,29.1,6.9,49.5,20.0,15.3
Harrison Barnes,29.0,6.9,64.1,8.0,13.8
Andrew Wiggins,28.9,6.8,59.7,12.6,22.4
Malik Monk,28.7,5.9,58.2,23.2,20.8
Payton Pritchard,28.7,6.1,67.2,16.9,19.6
Draymond Green,28.6,10.2,57.2,25.7,15.1
Ja Morant,28.6,7.7,56.4,41.9,31.5
Terry Rozier,28.4,6.6,52.7,15.5,19.0
Desmond Bane,28.3,9.5,54.3,20.6,21.1
Jaren Jackson Jr.,28.3,9.3,62.6,7.1,26.9
Chris Paul,28.3,6.8,57.8,40.9,14.9
Jeremy Sochan,28.2,13.9,57.2,15.6,21.5
Al Horford,28.0,9.2,62.7,11.1,12.8
Malik Beasley,28.0,5.3,58.4,10.4,20.8
De'Andre Hunter,27.9,6.7,62.2,7.2,23.1
Patrick Williams,27.9,8.1,50.4,10.8,16.8
Josh Green,27.8,4.7,55.2,8.7,11.8
Collin Sexton,27.7,4.6,60.2,17.6,23.9
Brandon Boston,27.7,6.3,54.0,17.9,19.6
Klay Thompson,27.7,6.1,55.4,8.7,20.6
Corey Kispert,27.6,5.9,53.2,7.6,16.7
Kyle Kuzma,27.5,9.4,48.7,12.0,27.2
Jordan Hawkins,27.4,6.5,51.6,7.4,20.6
Tim Hardaway Jr.,27.3,3.9,56.6,7.8,14.2
Josh Giddey,27.2,11.1,53.2,34.0,21.0
Stephon Castle,27.2,4.6,48.2,21.6,21.6
Davion Mitchell,27.2,4.0,48.7,24.4,13.4
Amen Thompson,27.1,11.4,61.0,10.9,17.5
Alexandre Sarr,26.8,10.7,46.6,11.3,20.1
Cason Wallace,26.7,6.3,50.0,10.4,11.8
D'Angelo Russell,26.7,5.1,53.5,25.6,21.1
Deni Avdija,26.6,10.4,56.4,17.4,20.0
Taurean Prince,26.5,7.8,65.5,8.9,11.7
Santi Aldama,26.5,12.6,61.2,14.9,17.6
Chet Holmgren,26.5,14.4,61.9,10.4,24.2
Jordan Clarkson,26.3,6.7,52.2,26.7,26.5
Kristaps Porzi??is,26.3,12.0,59.6,10.7,25.2
Royce O'Neale,26.2,11.0,61.9,12.5,16.2
Kyshawn George,26.2,7.3,44.6,13.8,14.7
Cody Martin,26.1,8.2,53.3,13.0,14.2
Wendell Carter Jr.,26.0,15.0,58.2,12.0,11.9
Gary Trent Jr.,25.8,3.7,56.3,5.0,14.3
Mike Conley,25.8,6.1,52.1,26.1,16.3
Jared McCain,25.7,4.8,58.9,17.1,24.3
Yves Missi,25.7,15.8,58.0,7.1,14.5
Justin Champagnie,25.7,11.1,60.5,6.5,14.3
Nick Richards,25.6,18.3,63.8,9.5,16.1
Andrew Nembhard,25.6,4.9,53.9,25.1,16.7
Kevin Huerter,25.6,6.7,54.4,11.1,16.7
Jose Alvarado,25.6,4.3,54.4,26.8,18.2
Scoot Henderson,25.6,5.0,49.5,29.1,21.7
Nic Claxton,25.4,15.6,61.7,14.1,15.8
Keldon Johnson,25.4,10.2,54.2,10.1,20.3
Jonathan Kuminga,25.2,8.1,51.7,12.4,26.9
Miles McBride,25.2,5.0,59.7,14.5,16.7
Jalen Wilson,25.2,7.3,56.9,10.3,15.2
Haywood Highsmith,25.1,5.8,60.5,6.1,11.1
Bogdan Bogdanovi?,25.1,6.0,55.7,11.3,18.6
Derrick Jones Jr.,25.0,7.0,60.4,5.4,16.1
Peyton Watson,24.9,6.7,59.5,6.3,14.2
Taylor Hendricks,24.8,8.3,35.4,4.0,11.3
Naz Reid,24.8,10.3,57.5,10.0,19.9
Russell Westbrook,24.8,7.5,49.2,35.5,22.4
Donte DiVincenzo,24.7,5.9,49.0,20.2,17.2
Devin Vassell,24.7,4.0,59.1,19.5,25.4
Caris LeVert,24.6,6.0,65.1,21.9,18.2
Jusuf Nurki?,24.6,20.0,54.2,7.2,18.8
Jaylen Wells,24.6,6.2,58.2,9.0,17.7
Tre Mann,24.5,5.6,53.7,21.9,25.0
Brandin Podziemski,24.5,8.6,45.9,19.8,15.9
Naji Marshall,24.3,6.9,62.9,13.7,18.9
Amir Coffey,24.2,5.3,62.0,7.9,15.5
Bobby Portis,24.1,15.2,54.4,11.3,23.7
Anthony Black,24.1,5.7,50.0,24.4,18.2
Buddy Hield,24.0,6.2,61.0,9.3,21.4
Guerschon Yabusele,24.0,11.7,59.6,12.1,17.1
Jalen Duren,23.9,18.4,67.5,14.2,15.2
Grayson Allen,23.9,6.1,59.5,11.6,18.1
Dereck Lively II,23.8,15.1,68.7,14.3,13.2
Nickeil Alexander-Walker,23.8,5.5,62.9,15.6,15.9
Malcolm Brogdon,23.8,8.7,59.0,19.2,23.1
