RANK_ID;PLAYER;TEAM;AGE;GP;W;L;MIN;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS
35;Shai Gilgeous-Alexander;OKC;26;25;20;5;34.4;119.1;102.7;16.4;29.2;2.42;19.1;2.2;12.5;7.4;7.9;56.1;62.4;32.0;101.55;19.3;1819
36;Rudy Gobert;MIN;32;25;14;11;34.4;110.0;103.6;6.4;8.5;1.22;17.4;9.7;21.6;15.7;14.3;63.3;67.8;11.8;98.26;11.7;1758
37;Jalen Brunson;NYK;28;26;16;10;34.4;121.4;114.1;7.3;33.9;3.23;25.6;1.3;7.4;4.5;7.9;56.7;62.0;28.5;97.10;14.1;1814
38;Karl-Anthony Towns;NYK;29;24;15;9;34.4;120.5;111.3;9.2;14.6;1.30;13.2;9.1;31.3;20.6;10.2;59.4;64.4;27.2;98.45;17.7;1688
39;Pascal Siakam;IND;30;27;12;15;34.3;111.7;111.5;0.2;15.4;2.35;16.7;5.2;14.0;9.7;7.1;59.6;62.5;21.8;100.95;12.5;1951
40;RJ Barrett;TOR;24;23;6;17;34.2;110.2;114.6;-4.4;27.2;1.79;19.5;2.5;16.3;9.4;10.9;50.8;54.4;29.0;102.70;12.6;1687
41;LaMelo Ball;CHA;23;18;6;12;34.1;112.1;113.4;-1.2;39.3;1.54;17.9;2.6;13.2;7.6;11.6;52.3;56.4;38.5;99.84;14.7;1276
42;Dyson Daniels;ATL;21;25;14;11;34.0;111.1;112.7;-1.6;13.3;1.85;18.4;4.5;9.6;7.0;10.0;49.5;50.6;17.2;105.50;8.0;1863
43;Trey Murphy III;NOP;24;14;2;12;33.9;101.2;113.3;-12.1;10.8;1.39;11.5;2.1;11.1;6.4;8.3;51.0;55.9;21.2;102.84;9.3;1015
44;James Harden;LAC;35;25;14;11;33.8;110.3;107.8;2.5;39.6;1.85;26.3;1.7;18.5;10.0;14.2;46.7;55.4;30.1;98.37;15.2;1729
45;Austin Reaves;LAL;26;21;12;9;33.6;112.4;114.7;-2.3;22.2;2.30;23.0;2.4;7.9;5.2;10.0;53.4;57.0;21.5;100.20;9.1;1476
46;Dennis Schröder;GSW;31;23;9;14;33.6;114.7;114.2;0.4;30.7;2.58;26.8;0.5;8.7;4.5;10.4;54.2;58.8;23.1;99.09;11.4;1590
47;CJ McCollum;NOP;33;14;3;11;33.6;108.2;116.6;-8.3;17.3;2.26;14.7;2.2;8.5;5.2;6.5;51.5;52.9;26.4;102.08;9.3;996
48;Bradley Beal;PHX;31;15;9;6;33.4;110.8;116.1;-5.3;15.6;1.44;15.9;2.1;10.3;6.4;11.0;56.8;59.4;22.4;100.14;9.3;1051
49;Cam Thomas;BKN;23;17;7;10;33.4;115.4;119.9;-4.5;17.9;1.19;12.7;1.1;9.1;5.1;10.7;54.4;60.6;30.9;96.30;11.8;1136
50;Zach LaVine;CHI;29;23;11;12;33.4;116.3;115.5;0.8;18.0;1.43;17.3;0.7;11.3;6.3;12.1;60.4;63.1;25.0;104.83;10.7;1672
51;Scottie Barnes;TOR;23;14;5;9;33.2;107.8;110.1;-2.4;36.0;2.08;25.2;5.7;18.5;11.9;12.1;51.7;55.3;26.6;102.73;15.5;992
52;Franz Wagner;ORL;23;25;16;9;33.2;113.2;104.6;8.6;30.1;2.33;19.3;2.8;14.9;8.6;8.3;51.9;57.3;31.1;97.25;17.0;1679
53;Brandon Ingram;NOP;27;18;5;13;33.1;107.0;117.7;-10.7;28.0;1.35;18.0;2.7;14.0;8.3;13.3;53.0;56.0;30.5;97.49;12.2;1209
54;Rui Hachimura;LAL;26;21;11;10;33.0;111.5;111.9;-0.4;7.3;2.00;13.3;5.6;10.8;8.3;6.6;56.3;59.4;14.6;98.67;8.4;1428
55;Julius Randle;MIN;30;25;14;11;33.0;111.8;108.1;3.7;20.1;1.50;16.9;5.4;14.9;10.2;11.2;53.9;59.9;25.6;97.80;13.1;1681
56;Dejounte Murray;NOP;28;10;2;8;33.0;102.9;118.0;-15.0;32.7;1.62;23.7;1.0;19.7;9.3;14.6;41.4;46.4;26.7;104.18;10.0;713
57;Jerami Grant;POR;30;24;7;17;32.9;105.3;117.2;-11.9;11.1;1.65;12.6;1.2;9.4;5.2;7.6;48.9;53.6;20.4;100.61;7.9;1652
