,RANK_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
164,146,Khris Middleton,MIL,32,30,21,9,24.9,123.1,113.7,9.4,26.1,2.27,25.3,2.8,13.8,8.7,11.1,57.2,59.7,23.8,102.99,12.1,1605
165,146,Kyle Lowry,MIA,37,30,18,12,29.0,115.2,113.6,1.6,19.9,2.88,32.2,2.4,10.9,6.5,11.2,61.1,64.0,13.0,98.52,8.3,1788
166,146,MarJon Beauchamp,MIL,23,30,21,9,15.4,119.1,115.7,3.4,5.7,1.0,12.3,4.1,11.6,8.0,12.3,60.4,60.9,13.4,103.62,5.8,997
167,146,Marcus Sasser,DET,23,30,2,28,15.9,109.0,119.6,-10.7,22.1,2.8,25.3,0.8,9.0,4.9,9.0,59.0,60.9,17.9,103.47,9.8,1027
168,146,Tre Jones,SAS,23,30,4,26,23.9,109.3,115.8,-6.5,27.3,3.44,34.9,2.9,8.6,5.7,10.1,49.8,53.4,15.7,105.13,9.3,1572
169,146,Tyrese Haliburton,IND,23,30,18,12,34.3,125.9,119.4,6.5,49.5,5.0,36.9,1.8,9.9,5.9,7.4,60.2,63.7,25.6,104.47,17.4,2238
170,146,Victor Wembanyama,SAS,20,30,5,25,29.3,104.0,114.3,-10.3,15.9,0.88,12.0,7.0,26.4,16.5,13.6,49.5,53.8,29.2,104.27,14.2,1908
171,146,Zeke Nnaji,DEN,22,30,23,7,10.2,100.6,116.6,-16.0,7.8,0.84,12.4,11.1,10.4,10.8,14.7,50.6,54.0,15.6,98.76,5.8,626
172,173,"Andre Jackson Jr,",MIL,22,29,19,10,9.7,113.8,118.5,-4.7,11.4,1.79,27.2,7.7,9.1,8.4,15.2,66.7,67.3,9.9,103.26,4.3,603
173,173,Dereck Lively II,DAL,19,29,19,10,25.2,120.1,113.8,6.3,6.4,1.12,15.0,10.5,18.3,14.5,13.4,72.3,71.3,12.0,101.59,9.7,1551
174,173,Devin Vassell,SAS,23,29,5,24,30.5,104.5,113.8,-9.3,16.2,2.41,15.5,1.4,9.4,5.3,6.4,56.3,59.2,22.5,104.26,11.8,1923
175,173,Grayson Allen,PHX,28,29,16,13,33.2,117.9,117.2,0.7,11.7,2.0,20.4,2.8,10.3,6.7,10.2,63.9,67.1,14.1,99.35,8.7,1992
176,173,Jarrett Allen,CLE,25,29,17,12,30.0,114.7,112.3,2.3,14.0,1.76,19.6,11.3,20.7,16.0,11.2,67.2,69.1,17.1,100.03,14.1,1804
177,173,Jerami Grant,POR,29,29,9,20,34.3,107.0,116.2,-9.2,12.8,1.09,11.2,1.9,9.3,5.5,10.3,53.2,58.3,25.4,99.52,10.0,2068
178,173,Kawhi Leonard,LAC,32,29,19,10,34.7,120.0,109.0,11.0,16.0,2.34,14.6,3.4,13.3,8.6,6.3,59.1,63.4,25.7,98.65,16.0,2073
179,173,Keegan Murray,SAC,23,29,18,11,33.1,114.9,113.1,1.8,6.9,1.88,10.0,4.0,12.8,8.2,5.3,54.2,56.4,18.5,100.72,8.4,2012
180,173,Keyonte George,UTA,20,29,12,17,25.6,108.2,116.4,-8.2,26.2,2.19,26.8,1.5,9.9,5.6,12.2,45.1,50.4,20.6,101.0,7.9,1565
181,173,Killian Hayes,DET,22,29,3,26,24.6,105.0,114.7,-9.6,24.0,3.62,30.5,1.2,10.7,5.9,8.4,45.9,48.1,16.5,101.97,8.1,1512
182,173,OG Anunoby,NYK,26,29,13,16,33.4,115.3,111.0,4.4,10.3,1.67,15.7,3.0,9.3,6.1,9.4,58.9,60.2,17.5,100.29,8.2,2027
183,173,"P,J, Washington",CHA,25,29,7,22,29.4,110.9,121.5,-10.6,11.2,1.55,14.2,4.0,14.4,9.0,9.2,50.4,53.0,20.2,101.03,7.9,1796
184,173,Pat Connaughton,MIL,30,29,21,8,22.0,119.1,116.2,2.8,10.3,2.84,25.1,3.5,12.8,8.2,8.8,52.9,54.4,10.3,104.98,6.2,1391
185,173,Robert Covington,PHI,33,29,20,9,16.8,115.6,103.6,12.1,6.4,2.18,16.8,6.4,12.7,9.7,7.7,53.6,58.0,10.4,98.87,7.9,998
186,173,Talen Horton-Tucker,UTA,23,29,10,19,22.3,113.2,114.5,-1.3,29.0,2.47,25.8,1.8,9.1,5.5,10.4,47.6,51.1,23.0,100.37,9.4,1357
187,173,Tristan Thompson,CLE,32,29,17,12,11.5,116.9,115.7,1.2,12.0,1.81,23.2,14.6,17.0,15.8,12.8,66.7,61.9,11.9,98.73,9.3,686
188,173,"Troy Brown Jr,",MIN,24,29,21,8,12.7,113.3,110.7,2.6,10.5,1.8,17.5,3.7,12.7,8.5,9.7,58.9,62.3,14.6,99.71,9.0,768
189,173,Zion Williamson,NOP,23,29,18,11,30.6,114.0,110.3,3.7,24.2,1.78,18.5,6.2,12.6,9.5,10.4,59.0,61.8,27.6,102.14,14.4,1890
190,191,Al Horford,BOS,37,28,22,6,26.4,116.5,107.2,9.3,14.3,3.52,29.6,5.6,18.4,12.3,8.4,60.2,61.6,11.1,99.41,10.7,1536
191,191,Brandin Podziemski,GSW,20,28,12,16,23.6,118.4,111.4,7.0,18.0,2.41,25.5,5.8,15.5,10.6,10.6,56.6,57.6,15.9,100.18,10.5,1380
192,191,Brandon Miller,CHA,21,28,6,22,31.3,111.0,121.4,-10.4,10.1,1.29,12.5,2.6,9.8,6.1,9.7,51.4,53.9,20.9,99.78,6.6,1822
193,191,Bruce Brown,IND,27,28,15,13,30.6,124.6,121.3,3.3,10.8,2.29,19.6,2.4,13.1,7.8,8.6,51.5,55.8,15.6,104.63,6.9,1866
194,191,Cam Reddish,LAL,24,28,15,13,24.4,110.2,109.9,0.3,8.1,2.0,17.4,2.5,7.7,5.2,8.7,45.6,50.3,12.8,102.72,5.1,1466
195,191,Dillon Brooks,HOU,27,28,15,13,30.9,114.5,110.8,3.7,7.9,0.98,11.5,2.3,8.4,5.5,11.8,56.6,59.4,18.4,98.37,6.3,1771
196,191,Isaiah Stewart,DET,22,28,2,26,30.7,108.9,114.8,-5.9,7.4,1.12,14.1,6.0,16.9,11.4,12.6,55.7,58.1,14.2,100.56,7.6,1795
197,191,JaVale McGee,SAC,35,28,16,12,8.4,111.6,110.9,0.7,7.5,0.43,8.9,11.3,21.7,16.6,20.7,67.5,66.5,20.5,105.67,11.7,526
